,,点击列表删除历史词项,ZJ, 结果列表页 ,AC,公交查询结果,AN-(-1表示返回数据为空，-2表示空结果，n表示n个方案), 点击地图更新 , BL , 点击修改密码按钮 , BD , 团购详情页 , DE ,双击放大地图,BB,酒店图片页,GC
,,点击列表加载更多项,ZK, 点击列表项 ,下标-UUID-名称,线路查询结果,"AO-(-1表示返回数据为空，-2表示空结果,-3表示本城市不支持，n表示n个方案)", 点击个人中心 , BM , 点击退出账户按钮 , BE , 点击立即抢购按钮 , BA ,长按地图,BC,酒店简介页,GD
,,长按列表项,ZL-下标, 点击添加商户 ,BA,交通频道首页,BA, 点击软件更新 , BN , 点击我的订单按钮 , BF , 点击客服电话 , BB ,移动地图,BD,订单填写页,GE
,,点击区域筛选框,ZM, Poi详情页 ,AD,全屏地图页显示,BB, 给一个好评 , BO , 更换手机号页 , ED , 团购详情地图页 , DF ,点击上一个,BE,点击房间数按钮, BA 
,,点击分类筛选框,ZO, POI信息记录 ,BA-UUID-名称-分类,交通输入页显示,BC, 点击用户调研 , BP , 输入昵称页 , EE , 团购商户页 , DG ,点击下一个,BF,点击房间数——选项, BB-房间数 
,,点击排序筛选框,ZP, 点击搜索周边 ,BF,单击选点页,BD, 点击添加商户 , BQ , 重置密码页 , EF , 商户地图页 , DH ,点击放大,BG,点击房间保留时间按钮, BC 
,,筛选操作,ZQ-筛选项名称-筛选条件表达式, 点击全部点评 ,BG,我的收藏,BE, 点击满意度评分 , BR , 修改密码页 , EG , 团购购买页 , DI ,点击缩小,BH,点击姓名, BD 
,,筛选取消,ZR, 点击点评内容 ,BH,交通备选站点列表页面,BF, 切换城市页 , CB , 点评后登录页 , EH , 点击前进按钮 , BA ,点击气泡,BI,点击手机号输入框, BE 
,,点击输入框中删除,ZS, 点击点评输入框 ,BJ,确定起点,BA-下标-名称, 点击查询城市输入框 , BA ,,, 点击后退按钮 , BB ,长按地图选为起点,BK,点击身份证号, BF 
,,触摸屏幕进行重试,ZT, 点击演出入口按钮 ,BK,确定终点,BB-下标-名称, 点击某城市 , BB-父下标-子下标-城市名 ,,, 点击刷新按钮 , BC ,长按地图选为终点,BL,点击提交订单按钮, BG 
,,分享对话框,ZU, 点击展览入口按钮 ,BL,交通方案列表页,BG, 点击省份 , BC-父下标-城市名-(1表示为展开，0表示为收起) ,,, 演出列表页 , DJ ,多点触摸缩放,BM,信用卡担保页,GF
,,点击分享类型,ZUZG-下标-分享类型, 点击团购入口按钮 ,BM,交通方案详情页,BH, 点击联想词城市 , BD-下标-城市名 ,,, 演出列表地图页 , DK , 微博发送页面 , FC , 点击发卡银行 , BA 
,,到这里去对话框,ZV, 推送的消息不能打开 , BN ,线路列表页,BI, 下载地图页 , CC ,,, 演出详情页 , DL , 图片查看页面 , FD , 点击发卡银行——选项 , BB-银行名称 
,,点击交通类型,ZVZG-下标-交通类型, 点击某个电影 , BO ,站点列表页,BJ," 点击“添加城市""按钮 ", BA ,,, 演出详情地图页 , DM , Qzone发送页面 , FE , 点击卡号输入框 , BC 
,,日志超长,ZW, 点击电影更多 , BP ,线路详情页,BK, 点击下载列表中某城市 , BB-父下标-子下标-城市名 ,,, 展览列表页 , DN ,雷达推送, FF , 点击持卡人姓名输入框 , BD 
,,点击地址,ZX, 来自微信WEB , BQ , 路线规划纠错页 ,BL, 点击下载列表中某省份 , BC-父下标-城市名-(1表示为展开，0表示为收起) ,,, 展览列表地图页 , DO , 通知栏显示推送提示 , BA-消息类型-数据类型 , 点击验证码填写输入框 , BE 
,,点击电话,ZY, 来自微信附件 , BR , 交通线路地图页 ,BM, 点击弹出窗口中“删除地图” , BD ,,, 展览详情页 , DP , 用户点击通知栏推送提示 , BB-消息类型-数据类型 , 点击有效期 , BF 
,,点击收藏,ZZ-当前是否已收藏, 点击发送给微信好友 , BS , 交通换乘地图页 ,BN, 点击弹出窗口中“开始下载” , BE ,,, 展览详情地图页 , DQ ,,, 点击有效期——选项 , BG-日期 
,,点击分享,YA, 点击日期 , BT , 交通自驾地图页 ,BO, 点击弹出窗口中“升级地图” , BF ,,, 电影列表页 , DR ,,, 点击证件类型 , BH 
,,点击纠错,YB, 点击房型 , BU , 交通步行地图页 ,BP, 点击弹出窗口中”暂停下载” , BG ,,, 电影详情页 , DS ,,, 点击证件号码输入框 , BI 
,,日期选择,YC, 点击预订 , BV ,,, 点击查询城市输入框 , BH ,,, 影院地图页 , DT ,,, 点击确认提交按钮 , BJ 
,,日期选择确认,YCBA, 点击更多房型 , BW ,,, 点击关闭wifi状态按钮 , BI ,,, 影院列表页 , DU ,,, 7天酒店注册页 , GG 
,,日期选择入住,YCBB-日期, 点击图片 , BX ,,, 点击全部开始按钮 , BJ ,,, 影院列表地图页 , DV ,,, 点击姓名输入框 , BA 
,,日期选择离店,YCBC-日期, 点击简介 , BY ,,, 点击全部暂停按钮 , BK ,,,,,,, 点击手机号输入框 , BB 
,,点击从手机相册选择,YD, 点击重新加载房型信息 , BZ ,,, 点击全部更新按钮 , BL ,,,,,,, 点击身份证号输入框 , BC 
,,点击拍照上传,YF, 点击单个的优惠券 , CA ,,, 点击联想词城市 , BM-下标-城市名 ,,,,,,, 点击提交按钮 , BD 
,,,, 点击多个的优惠券 , CB ,,, 点击全部城市列表中某城市 , BN-父下标-子下标-城市名 ,,,,,,, 酒店订单列表页 , GH 
,,,, POI点评列表页 ,AE,,, 点击全部城市列表中某省份 , BO-父下标-城市名-(1表示为展开，0表示为收起) ,,,,,,, 点击到这里去按钮 , BA 
,,,, 点击点评来源链接 ,BA-下标-url,,, 收藏夹页 , CD ,,,,,,, 点击某一订单 , BB-下标 
,,,, 点击我的点评 ,BB,,, 长按某一项 ," (BC表示POI,BD表示交通)-下标 ",,,,,,, 订单详情页 , GI 
,,,, 点击点评输入框 ,BC,,,滑动页面," (BC表示POI,BD表示交通) ",,,,,,, 点击poi名称 , BA 
,,,, 点评输入页 ,AF,,, 点击地点收藏 , BC ,,,,,,, 点击拨打电话 , BB 
,,,, 点击整体评价笑脸 ,BA-评分,,, 点击交通收藏 , BD ,,,,,,, 点击取消订单按钮 , BC 
,,,, 点击文字输入框 ,BB,,, 点击列表某一条地点收藏 , BC-下标 ,,,,,,, 点击取消订单弹出框——是 , BD 
,,,, 点击人均价格 ,BC,,, 点击列表某一条交通收藏 , BD-下标 ,,,,,,, 点击取消订单弹出框——否 , BE 
,,,, 点击口味 ,BD,,, 点击删除项 ," BA(BC表示POI,BD表示交通) ",,,,,,, 点击删除订单按钮 , BF 
,,,, 点击环境 ,BE,,, 点击重命名项 ," BB(BC表示POI,BD表示交通) ",,,,,,, 点击删除订单弹出框——是 , BG 
,,,, 点击服务 ,BF,,, 点击右上角删除按钮 ," (BC表示POI,BD表示交通) ",,,,,,, 点击删除订单弹出框——否 , BH 
,,,, 点击氛围 ,BG,,, 往上拉加载更多 ," (BC表示POI,BD表示交通) ",,,,,,, 点击发表点评按钮 , BI 
,,,, 点击推荐菜 ,BH,,, 最近浏览页 , CE ,,,,,,, 点击再定一单按钮 , BJ 
,,,, 点击同步新浪微博按钮 ,BI-(false表示取消，true表示同步),,, 长按某一项 ," (BC表示POI,BD表示交通)-下标 ",,,,,,,,
,,,, 点击同步QQ空间按钮 ,BJ-(false表示取消，true表示同步),,,滑动页面," (BC表示POI,BD表示交通) ",,,,,,,,
,,,, 周边搜索页 ,AG,,, 点击地点收藏 , BC ,,,,,,,,
,,,,滑动页面,(0表示分类页，1表示输入页),,, 点击交通收藏 , BD ,,,,,,,,
,,,, 点击分类标签 ,BA-分类名,,, 点击列表某一条地点收藏 , BC-下标 ,,,,,,,,
,,,, 在输入页点击搜索 ,BB-搜索词,,, 点击列表某一条交通收藏 , BD-下标 ,,,,,,,,
,,,, 点击输入框 ,BC,,, 点击删除项 ," BA(BC表示POI,BD表示交通) ",,,,,,,,
,,,, POI纠错页 ,AH,,, 点击右上角删除按钮 ," (BC表示POI,BD表示交通) ",,,,,,,,
,,,, 点击名称错误 , BA ,,, 往上拉加载更多 ," (BC表示POI,BD表示交通) ",,,,,,,,
,,,, 点击添加电话 , BB ,,, 系统设置页 , CF ,,,,,,,,
,,,, 点击电话错误 , BC ,,, 点击GPS按钮 , BA-(false表示当前关闭，true表示当前开启) ,,,,,,,,
,,,, 点击地点不存在 , BD ,,, 点击屏幕常亮 , BB-(false表示当前关闭，true表示当前开启) ,,,,,,,,
,,,, 点击地址错误 , BE ,,, 点击雷达推送 , BC-(false表示当前关闭，true表示当前开启) ,,,,,,,,
,,,, 点击地点重复错误 , BF ,,, 意见反馈页 , CG ,,,,,,,,
,,,, 点击地图标注错误 , BG ,,, 点击意见输入框 , BA ,,,,,,,,
,,,, 点击其他错误 , BH ,,, 点击输入手机号 , BB ,,,,,,,,
,,,, 点击提交按钮 , BI ,,, 帮助页 , CH ,,,,,,,,
,,,, 点击下一步按钮 , BJ ,,, 关于我们页 , CI ,,,,,,,,
,,,, 我的点评页 ,AI,,, 点击官网“打开网址” , BA ,,,,,,,,
,,,, 点击POI名称 , BA-下标-POI名称 ,,, 点击官方微博“打开网址” , BB ,,,,,,,,
,,,, 我要点评页 ,AJ,,, 点击论坛“打开网址” , BC ,,,,,,,,
,,,, 点击搜索输入框 , BA ,,, 选择电话“拨打电话” , BD ,,,,,,,,
,,,, 点击某一个POI ,下标-UUID-名称,,, 应用推荐 , CJ ,,,,,,,,
,,,,POI列表地图页,AK,,, 点击盛大推荐 , BA ,,,,,,,,
,,,,POI详情地图页,AL,,, 点击某一个应用 , 下标-应用名称 ,,,,,,,,
,,,,优惠券列表页,AM,,, 添加商户 , CK ,,,,,,,,
,,,, 点击某一个优惠券 ,,,, 点击商户类型 , BA ,,,,,,,,
,,,,优惠券详情页,AN,,, 点击商户名称 , BB ,,,,,,,,
,,,, 点击二维码 , BA ,,, 点击商户地址 , BC ,,,,,,,,
,,,,名称错误页,AO,,, 点击商户电话 , BD ,,,,,,,,
,,,, 点击商户名称输入框 , BA ,,, 点击营业时间 , BE ,,,,,,,,
,,,, 点击联系方式输入框 , BB ,,, 点击您的电话 , BF ,,,,,,,,
,,,, 点击提交按钮 , BC ,,, 点击位置描述 , BG ,,,,,,,,
,,,, 点击商户类型输入框 , BD ,,, 点击营业日期 , BH ,,,,,,,,
,,,,地址错误页,AP,,, 点击选择图片 , BI ,,,,,,,,
,,,, 点击地址输入框 , BA ,,, 点击删除图片 , BJ ,,,,,,,,
,,,, 点击联系方式输入框 , BB ,,, 点击确认图片 , BK ,,,,,,,,
,,,, 点击提交按钮 , BC ,,, 点击取消图片 , BL ,,,,,,,,
,,,,添加电话页,AQ,,, 点击营业时间确认 , BM ,,,,,,,,
,,,, 点击电话输入框 , BA ,,, 点击城市切换 , BN ,,,,,,,,
,,,, 点击联系方式输入框 , BB ,,, 在图片确认时点击左上角返回 , BO ,,,,,,,,
,,,, 点击提交按钮 , BC ,,, 满意度评分页 , CL ,,,,,,,,
,,,,电话错误页,AR,,, 点击搜索结果评级 , BA ,,,,,,,,
,,,, 点击电话输入框 , BA ,,, 点击定位准确性评级 , BB ,,,,,,,,
,,,, 点击联系方式输入框 , BB ,,, 点击操作流畅性评级 , BC ,,,,,,,,
,,,, 点击提交按钮 , BC ,,, 点击功能满足需要评级 , BD ,,,,,,,,
,,,, 点击打不通按钮 , BD ,,, 点击功能操作简单评级 , BE ,,,,,,,,
,,,, 点击不是此商户按钮 , BE ,,, 点击应用反应速度评级 , BF ,,,,,,,,
,,,,地点不存在页,AS,,, 点击整体满意度评级 , BG ,,,,,,,,
,,,, 点击其他错误输入框 , BA ,,, 点击提交按钮 , BH ,,,,,,,,
,,,, 点击联系方式输入框 , BB ,,,,,,,,,,,,
,,,, 点击提交按钮 , BC ,,,,,,,,,,,,
,,,, 点击停业中 , BD ,,,,,,,,,,,,
,,,, 点击已拆迁 , BE ,,,,,,,,,,,,
,,,, 点击已搬迁 , BF ,,,,,,,,,,,,
,,,, 点击没找到 , BG ,,,,,,,,,,,,
,,,, 点击其他错误 , BH ,,,,,,,,,,,,
,,,,其他错误页,AT,,,,,,,,,,,,
,,,, 点击错误描述输入框 , BA ,,,,,,,,,,,,
,,,, 点击联系方式输入框 , BB ,,,,,,,,,,,,
,,,, 点击提交按钮 , BC ,,,,,,,,,,,,
